abn_key,Charity_Legal_Name,State,Town_City,Charity_Website,charity size,staff - volunteers,total full time equivalent staff,total revenue,net assets/liabilities,beneficiary_count,states_operating,years_operating,pillar_legitimacy,pillar_impact,pillar_capacity,pillar_cause,fit_score,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,rank,is_top_10
63009946481,Queensland And Northern New South Wales Lions Medical Research Foundation,QLD,Spring Hill,https://lionsmedicalresearchfoundation.org.au/,Small,1000,1.0,156489,1375119,23,6,45.0,89.90254599930776,100.0,96.64107485604606,100.0,96.8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,1,1
88054089520,Australian And New Zealand Burn Association Limited,NSW,St Leonards,www.anzba.org.au,Medium,200,1.0,330188,800251,22,7,44.0,88.44319541478652,83.67911941294177,78.64107485604606,100.0,87.9,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,2,1
96835319495,THE KEEP AUSTRALIA BEAUTIFUL COUNCIL (VIC.) INCORPORATED,VIC,,https://www.kabvic.org.au,Medium,1400,2.8,480020,129968,21,1,52.0,82.99884262679663,84.0,72.59500959692897,100.0,85.5,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,3,1
70118833592,Nobbys Surf Life Saving Club Inc,NSW,Newcastle East,https://www.nobbysnsw.com.au/,Small,503,0.0,95659,1046590,20,0,97.0,100.0,54.04761904761905,100.0,97.26027397260275,85.5,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,4,1
96215276030,Disabled Surfers Association Of Aust,NSW,Lake Munmorah,www.disabledsurfers.org,Small,5000,0.0,220277,418145,23,2,34.0,85.72146738214181,63.0,100.0,100.0,85.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,5,1
47103733582,Action for Children And The Aged (ACATA) Australia,QLD,Walligan,www.nutritionandhealthfiji.com,Small,500,0.5,2966,2028,20,1,,70.0,83.04761904761905,98.32053742802303,89.04109589041096,84.3,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,,Y,,,Y,Y,,,,,,,,,6,1
38281285100,Knit4Charities Inc,QLD,Eagleby,knit4charities.org.au,Small,2000,0.0,14842,4877,21,2,16.0,79.6,63.0,100.0,100.0,83.8,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,7,1
51108440348,Art Of Living Foundation Ltd,NSW,Baulkham Hills,http://artofliving.org.au,Medium,750,0.0,639960,2927314,20,7,16.0,79.6,74.04761904761905,82.0,100.0,83.5,Y,Y,Y,Y,,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,,Y,,8,1
95461578195,Warriewood Beach Surf Life Saving Club Inc,NSW,North Narrabeen,www.warriewoodslsc.com.au,Medium,800,0.0,253770,451534,21,0,70.0,100.0,55.0,82.0,100.0,82.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,9,1
60004222020,Churches Of Christ Community Care,VIC,South Melbourne,https://churchesofchrist.org.au/document/constitution-churches-of-christ-community-care-approved-280416/,Medium,250,1.0,808947,8026635,19,0,83.0,97.57409055680023,66.44413736141533,78.64107485604606,89.04109589041096,82.3,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,10,1
55454357654,Cultural Dissent,,,,Small,40,0.2,101313,25193,21,4,29.0,85.3341336239701,64.73582388258836,79.3282149712092,100.0,81.6,Y,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,11,0
50115163338,Signature Foundation Ltd,NSW,Bella Vista,https://signaturefoundation.com.au/,Medium,900,3.0,744885,3785645,22,1,15.0,68.04019539525544,84.0,71.9232245681382,100.0,81.6,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,12,0
11434864088,Woolgoolga Surf Life Saving Club Inc.,NSW,Woolgoolga,http://www.woolgoolgaslsc.com,Small,200,0.0,110057,1107368,21,0,88.0,100.0,38.67911941294177,100.0,100.0,81.6,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,13,0
88104132551,Mudjimba Surf Life Saving Club Inc,QLD,Mudjimba,http://www.mudjimbasurf.com.au,Small,470,0.5,223527,460710,16,0,24.0,82.2831378587579,75.23809523809524,98.32053742802303,73.97260273972603,81.3,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,,Y,,,,,Y,,,,,,,,,,,,Y,14,0
72170732477,Hair Aid Inc.,QLD,Mooloolaba,www.hairaid.org.au,Small,605,1.0,182538,19912,18,0,5.0,64.10698839021146,77.14285714285714,96.64107485604606,90.41095890410958,81.1,Y,Y,Y,,,,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,15,0
83772324079,Tathra Surf Life Saving Club Inc,NSW,TATHRA,tathrasurfclub.org.au,Small,181,0.0,100213,798909,21,0,111.0,100.0,36.904603068712305,100.0,100.0,81.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,16,0
15514913398,Holland Foundation,VIC,Black Rock,https://hf.org.au,Small,212,1.0,160153,291931,21,0,16.0,66.25808317392789,64.79986657771829,96.64107485604606,100.0,80.3,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,17,0
64624195541,Boroondara Neighbourhood Watch Inc,VIC,Doncaster,https://boroondaranhw.wixsite.com/boroondara,Small,190,0.0,8008,21880,22,1,34.0,90.4,41.74516344229468,100.0,100.0,80.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,18,0
59694887928,Eco Barge Clean Seas Inc.,QLD,Jubilee Pocket,https://ecobargecleanseas.org.au/,Medium,600,2.5,358041,516320,22,1,9.0,60.84777068944757,84.0,73.60268714011517,100.0,80.1,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,,,,,,19,0
11240691077,Shalom Media Australia Limited,NSW,Toongabbie,www.shalomworld.org,Medium,200,1.0,590491,184580,23,2,6.0,69.7498082704269,71.67911941294177,78.64107485604606,100.0,79.7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,Y,,20,0
60693395913,Girl Guides Association Of Tasmania,TAS,Bellerive,www.guidestas.org.au,Medium,250,3.0,327715,6110421,21,1,109.0,90.78224515971112,57.76556593284389,71.9232245681382,100.0,79.4,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,21,0
30922354310,Love This City Ltd,QLD,Burleigh Heads,lovethiscity.org.au,Small,160,0.5,107281,58057,20,1,16.0,66.95412618790182,62.990914577972475,98.32053742802303,95.8904109589041,79.3,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,Y,,22,0
80985119210,Safe Pets Safe Families SA Inc,SA,Marleston,safepetssafefamilies.org.au,Small,420,0.0,196000,33000,20,1,,70.0,58.04761904761905,100.0,97.26027397260275,79.2,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,23,0
96268458167,HUGHENDEN SHOW SOCIETY INC,QLD,Hughenden,hughendenshow.com,Small,70,0.0,23011,44334,22,1,55.0,100.0,30.53769179452962,100.0,100.0,79.2,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,24,0
52049850407,Ellis Beach Surf Life Saving Club Inc,QLD,Clifton Beach,www.ellisbeachslsc.com,Small,300,0.0,124500,335240,19,1,35.0,91.0,50.11391721465077,100.0,84.93150684931507,79.0,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,Y,25,0
58993838971,Tea Gardens Hawks Nest Surf Lifesaving Club Inc,NSW,Hawks Nest,http://www.tghnslsc.com,Small,95,0.0,59108,642820,20,1,87.0,100.0,31.920200768766392,100.0,97.26027397260275,78.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,Y,26,0
27871986250,Ocean Beach Surf Life Saving Club,NSW,Umina Beach,www.oceanbeachslsc.com,Medium,350,1.0,483384,534562,15,1,98.0,97.29045487959475,75.9741732583624,78.64107485604606,64.38356164383562,78.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,,,Y,,Y,Y,Y,,,Y,,,,,,,,,,,,,27,0
20341395200,Landcare Association Of South Australia Inc.,SA,Hindmarsh,www.landcaresa.asn.au,Small,520,0.6,191277,86449,15,1,21.0,75.74431818249919,78.28571428571429,97.98464491362765,67.12328767123287,78.8,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,,,Y,Y,,Y,Y,,,,Y,,,,,,Y,,,Y,,,,28,0
60466289835,Australian Addison's Disease Association Incorporated,NSW,Balmain,www.addisons.org.au,Small,21,0.0,12480,51008,22,5,25.0,85.0,41.96130753835889,100.0,100.0,78.8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,29,0
83347395660,Etty Bay Surf Life Savings Club Inc,QLD,Innisfail,www.ettybayslsc.au,Small,50,0.0,75273,1236908,21,1,84.0,100.0,28.669779853235443,100.0,100.0,78.6,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,Y,30,0
42408595468,Henri Nouwen House Incorporated,WA,Bridgetown,www.henris.net.au,Small,15,0.02,19388,54257,19,1,22.0,81.33588455261179,48.49617205120873,99.93282149712093,93.15068493150685,78.2,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,31,0
63854292415,Doncaster-Templestowe Historical Society Incorporated,VIC,Doncaster East,https://dt-hs.blogspot.com/,Small,35,0.0,1500,10000,21,1,53.0,100.0,27.26884589726481,100.0,100.0,78.2,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,32,0
74889877822,C Care Inc.,VIC,St Kilda,www.ccare.org.au,Medium,800,5.0,800975,850793,20,1,9.0,69.50182723302491,78.04761904761905,65.20537428023033,97.26027397260275,78.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,33,0
91160701280,Thread Together Limited,NSW,Banksmeadow,threadtogether.org/,Medium,500,3.82,975573,420458,18,8,8.0,58.65757232046892,88.50411368735976,69.16890595009596,91.78082191780823,78.0,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,34,0
99928980646,Surf Life Saving North Coast Branch Inc,NSW,Coffs Harbour,https://slsnorthcoast.com.au/,Small,25,0.0,82057,337307,22,1,91.0,100.0,26.33488992661772,100.0,100.0,77.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,35,0
49866411054,Paws Darwin,NT,Coolalinga,pawsdarwin.org.au,Medium,800,4.0,532831,62470,21,0,8.0,60.19456089977169,80.0,68.56429942418426,100.0,77.8,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,36,0
14684547844,Echuca & Moama Search & Rescue Squad,VIC,Echuca,www.emsr.org.au,Small,18,0.0,93488,799842,21,1,54.0,100.0,25.681120747164762,100.0,100.0,77.7,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,37,0
56729615731,Milton Show Society Incorporated,NSW,Milton,www.miltonshowsociety.com,Small,450,0.0,10741,122293,17,1,34.0,90.4,55.19047619047619,100.0,73.97260273972603,77.7,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,Y,Y,Y,,Y,Y,,,,,,,,Y,,,,,38,0
18083789097,Casino And District Historical Society Incorporated,NSW,Casino,www.casinohistoricalmuseum.com,Small,14,0.0,29189,48319,23,1,54.0,100.0,25.307538358905923,100.0,100.0,77.6,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,39,0
15332014086,Tweed District Rescue Squad Incorporated,NSW,Chinderah,www.tweedrescue.com.au,Small,23,0.0,90191,540000,21,1,48.0,98.8,26.148098732488304,100.0,100.0,77.5,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,40,0
67807833911,Grange Surf Life Saving Club Inc,,,https://www.grangeslsc.asn.au/,Medium,600,0.5,299109,2272913,14,1,62.0,96.47418270144279,77.33333333333333,80.32053742802303,56.16438356164384,77.4,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,,,,,,Y,Y,Y,,Y,,,,,,,,,,,Y,,41,0
48454956698,Griffith Showground Trust,NSW,Griffith,facebook.com/griffithshowground,Small,8,0.0,76000,685597,23,1,92.0,100.0,24.74716477651767,100.0,100.0,77.4,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,42,0
86891257991,FRIENDS OF ROYAL PERTH HOSPITAL,WA,Perth,,Medium,208,0.85,281563,624011,19,1,61.0,90.121685603213,66.52152228469755,59.14491362763915,91.78082191780823,77.3,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,43,0
54188564833,Wrap With Love Incorporated,NSW,Alexandria,www.wrapwithlove.org,Small,2000,0.0,13700,32438,17,1,24.0,84.4,55.19047619047619,100.0,78.08219178082192,77.2,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,44,0
28644233127,The Religious Society Of Friends (Quakers) Queensland Regional Meeting Inc,QLD,Kelvin Grove,https://www.quakersaustralia.info/QRM,Small,40,0.0,91751,2820528,21,1,41.0,94.6,27.735823882588356,100.0,100.0,77.0,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,45,0
47836436168,United Nations Association Of Australia Incorporated,,,www.unaa.org.au,Small,200,0.0,77814,133233,22,1,75.0,76.10881363629437,42.67911941294177,100.0,100.0,76.8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,46,0
23127606400,Private Cancer Physicians Of Australia Limited,QLD,Kelvin Grove,www.pcpa.org.au,Small,11,0.0,28918,458732,21,8,13.0,77.8,41.0273515677118,100.0,100.0,76.8,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,47,0
38130433502,Wangaratta Anglican Emergency Food Group,VIC,Wangaratta,www.wangaratta-anglican.org.au,Small,0,0.0,129476,100796,22,2,39.0,93.4,28.0,100.0,100.0,76.8,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,Y,,48,0
75054228565,BALLARAT COMMUNITY FM RADIO CO-OPERATIVE LIMITED,,,https://voicefm.org.au,Small,40,0.0,131137,150396,22,1,38.0,92.8,27.735823882588356,100.0,100.0,76.5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,Y,,,,,49,0
24922181768,ALBURY-WODONGA HINDU VAIDIC SEWA SAMITI INC.,NSW,Thurgoona,www.awhvss.com.au,Small,789,0.0,3127,25663,17,2,7.0,74.2,59.19047619047619,100.0,80.82191780821918,76.5,Y,Y,Y,Y,,,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,Y,,,,,,,Y,Y,,,50,0
14719010013,Aboriginal Evangelical Fellowship Australia Inc,WA,Kelmscott,aef.org.au,Small,20,0.6,109790,856135,19,3,50.0,91.099113770917,36.12981670319894,97.98464491362765,93.15068493150685,76.5,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,,,,,,Y,,Y,,51,0
53889580102,The Entrance Surf Life Saving Inc,NSW,The Entrance,www.theentranceslsc.com.au,Small,50,0.0,98171,220853,20,0,98.0,100.0,23.71739890085449,100.0,97.26027397260275,76.4,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,52,0
49078848971,Kanyana Wildlife Rehabilitation Centre Inc,WA,Lesmurdie,https://kanyanawildlife.org.au/,Medium,350,1.0,385396,1653318,17,1,24.0,77.99889890323038,77.87893516312431,78.64107485604606,71.23287671232876,76.4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,Y,Y,,,,Y,Y,,Y,,,,,,,,,,53,0
80330757279,Mulgrave Landcare And Catchment Group Inc,QLD,Gordonvale,www.mulgravelandcare.org.au,Small,370,1.5,240086,205418,15,0,19.0,67.06716840163703,73.84208519965658,94.96161228406909,72.6027397260274,76.1,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,Y,Y,Y,,Y,Y,,,,Y,,,,,,Y,,,,,,,54,0
43487354560,The Ryde Eisteddfod Committee Inc,NSW,Marsfield,www.rydeeisteddfod.org,Small,70,0.0,7006,277233,21,1,29.0,87.4,30.53769179452962,100.0,100.0,76.0,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,,,,,,55,0
86514255727,Global Medical Foundation Australia,NSW,Bella Vista,http://www.gmfaustralia.org.au,Small,9,0.0,58498,86191,22,3,24.0,84.4,32.84056037358238,100.0,100.0,76.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,,,,,,,56,0
78608509824,10x10 Philanthropy Limited,NSW,Sydney,www.10x10philanthropy.com,Small,187,1.6,247451,288913,21,5,,44.73353238607441,72.07435165110056,94.62571976967371,97.26027397260275,76.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,Y,,57,0
61283929674,Leeton Rescue Squad Inc,,,www.vrarescue.org,Small,14,0.0,26938,96467,21,0,47.0,98.2,21.307538358905923,100.0,100.0,75.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,58,0
75690827341,United Nations Association Of Australia Qld Inc,QLD,Inala,https://www.unaa.org.au/about/state-teams/queensland/,Small,50,0.0,12299,43619,22,1,31.0,88.6,28.669779853235443,100.0,100.0,75.8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,59,0
